Record Length,2.500000e+03,,  -0.000045000000,   0.40000,
Sample Interval,1.000000e-07,,  -0.000044900000,   0.48000,
Trigger Point,4.500000000000e+02,,  -0.000044800000,   0.40000,
,,,  -0.000044700000,   0.40000,
,,,  -0.000044600000,   0.40000,
,,,  -0.000044500000,   0.40000,
Source,CH1,,  -0.000044400000,   0.48000,
Vertical Units,V,,  -0.000044300000,   0.40000,
Vertical Scale,2.000000e+00,,  -0.000044200000,   0.40000,
Vertical Offset,-3.840000e+00,,  -0.000044100000,   0.40000,
Horizontal Units,s,,  -0.000044000000,   0.40000,
Horizontal Scale,2.500000e-05,,  -0.000043900000,   0.48000,
Pt Fmt,Y,,  -0.000043800000,   0.40000,
Yzero,0.000000e+00,,  -0.000043700000,   0.40000,
Probe Atten,1.000000e+01,,  -0.000043600000,   0.40000,
Model Number,TDS1001C-EDU,,  -0.000043500000,   0.40000,
Serial Number,C013086,,  -0.000043400000,   0.40000,
Firmware Version,FV:v25.07,,  -0.000043300000,   0.32000,
,,,-00.000043200000,   0.40000,
,,,-00.000043100000,   0.32000,
,,,-00.000043000000,   0.40000,
,,,-00.000042900000,   0.40000,
,,,-00.000042800000,   0.40000,
,,,-00.000042700000,   0.40000,
,,,-00.000042600000,   0.40000,
,,,-00.000042500000,   0.32000,
,,,-00.000042400000,   0.40000,
,,,-00.000042300000,   0.40000,
,,,-00.000042200000,   0.48000,
,,,-00.000042100000,   0.40000,
,,,-00.000042000000,   0.48000,
,,,-00.000041900000,   0.40000,
,,,-00.000041800000,   0.32000,
,,,-00.000041700000,   0.32000,
,,,-00.000041600000,   0.32000,
,,,-00.000041500000,   0.40000,
,,,-00.000041400000,   0.40000,
,,,-00.000041300000,   0.40000,
,,,-00.000041200000,   0.40000,
,,,-00.000041100000,   0.40000,
,,,-00.000041000000,   0.40000,
,,,-00.000040900000,   0.40000,
,,,-00.000040800000,   0.40000,
,,,-00.000040700000,   0.40000,
,,,-00.000040600000,   0.32000,
,,,-00.000040500000,   0.40000,
,,,-00.000040400000,   0.40000,
,,,-00.000040300000,   0.40000,
,,,-00.000040200000,   0.40000,
,,,-00.000040100000,   0.48000,
,,,-00.000040000000,   0.40000,
,,,-00.000039900000,   0.40000,
,,,-00.000039800000,   0.40000,
,,,-00.000039700000,   0.32000,
,,,-00.000039600000,   0.40000,
,,,-00.000039500000,   0.48000,
,,,-00.000039400000,   0.32000,
,,,-00.000039300000,   0.32000,
,,,-00.000039200000,   0.32000,
,,,-00.000039100000,   0.40000,
,,,-00.000039000000,   0.40000,
,,,-00.000038900000,   0.40000,
,,,-00.000038800000,   0.40000,
,,,-00.000038700000,   0.40000,
,,,-00.000038600000,   0.40000,
,,,-00.000038500000,   0.40000,
